country,date,deaths,log_deaths,shifted_deaths,shifted_log_deaths,delta_log_deaths,delta_deaths,shifted_delta_deaths,factor_delta_increase_deaths,delta_log_deaths_smoothed,factor_delta_increase_deaths_smoothed,factor_deaths_increase_smoothed,cases_lower_ci,cases_upper_ci
Germany,2020-01-22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.039999999999979,577.7999999996196
Germany,2020-01-23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0199999999999796,556.3299999996391
Germany,2020-01-24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.089999999999978,570.1199999996265
Germany,2020-01-25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0799999999999783,576.269999999621
Germany,2020-01-26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.089999999999978,568.529999999628
Germany,2020-01-27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.1099999999999777,576.7599999996205
Germany,2020-01-28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.3699999999999934,576.8899999996204
Germany,2020-01-29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0299999999999794,585.1299999996129
Germany,2020-01-30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.00999999999998,548.1599999996465
Germany,2020-01-31,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0699999999999785,549.799999999645
Germany,2020-02-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.00999999999998,582.0799999996157
Germany,2020-02-02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.039999999999979,574.3299999996227
Germany,2020-02-03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.099999999999999,568.7599999996278
Germany,2020-02-04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0199999999999796,553.4099999996417
Germany,2020-02-05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.1599999999999766,578.9099999996185
Germany,2020-02-06,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.089999999999978,579.9399999996176
